policy_id,customer_id,product_type,campaign_flag,sales_channel,customer_tenure_days,payment_type,premium_amount,annual_premium_equivalent,cancellation_category,high_value_customer
1,17270,Auto,0,Telefone,828,Mensal,83.36,1000.35,Concorrência,0
2,10860,Saúde,1,Balcão,39,Anual,1714.78,1714.78,Pressão,1
3,15390,Vida,1,Balcão,788,Mensal,27.44,329.29,Concorrência,0
4,15191,Auto,1,Balcão,997,Único,15604.38,15604.38,Insatisfação,1
5,15734,Auto,0,Balcão,117,Mensal,26.57,318.79,Concorrência,0
6,16265,Vida,0,Telefone,853,Mensal,91.15,1093.8,Concorrência,0
7,10466,Saúde,0,Online,944,Anual,1629.09,1629.09,Concorrência,1
8,14426,Auto,0,Balcão,611,Anual,649.84,649.84,Concorrência,0
9,15578,Vida,0,Online,726,Mensal,81.39,976.71,Concorrência,0
10,18322,Vida,1,Balcão,900,Mensal,62.16,745.95,Concorrência,0
11,11685,Vida,1,Telefone,977,Único,11019.69,11019.69,Concorrência,1
12,10769,Vida,1,Telefone,968,Mensal,127.07,1524.89,Concorrência,1
13,16949,Auto,1,Balcão,969,Anual,1346.04,1346.04,Pressão,1
14,12433,Auto,0,Telefone,454,Mensal,96.39,1156.7,Concorrência,0
15,15311,Vida,0,Online,902,Anual,1520.12,1520.12,Mudança de vida,1
16,15051,Vida,0,Balcão,447,Anual,851.94,851.94,Concorrência,0
17,16420,Vida,1,Balcão,741,Mensal,78.18,938.18,Pressão,0
18,11184,Vida,0,Balcão,899,Anual,1378.8,1378.8,Pressão,1
19,14555,Auto,0,Online,615,Mensal,66.51,798.1,Mudança de vida,0
20,13385,Vida,0,Telefone,466,Mensal,28.31,339.69,Mudança de vida,0
21,16396,Vida,0,Online,624,Mensal,29.66,355.96,Mudança de vida,0
22,18666,Vida,1,Telefone,744,Mensal,35.0,419.97,Administrativo,0
23,19274,Saúde,1,Online,707,Anual,1596.7,1596.7,Administrativo,1
24,12558,Vida,0,Telefone,990,Mensal,81.39,976.67,Administrativo,0
25,17849,Auto,1,Online,705,Mensal,112.67,1352.1,Administrativo,1
26,12047,Vida,1,Balcão,504,Mensal,71.08,852.94,Pressão,0
27,12747,Auto,0,Online,683,Mensal,53.63,643.59,Administrativo,0
28,19167,Saúde,0,Telefone,256,Mensal,65.13,781.62,Mudança de vida,0
29,19998,Vida,0,Balcão,552,Anual,1478.92,1478.92,Pressão,1
30,10189,Saúde,0,Telefone,573,Único,9842.96,9842.96,Concorrência,1
31,12734,Auto,1,Balcão,866,Anual,1702.72,1702.72,Pressão,1
32,13005,Auto,0,Online,597,Mensal,108.36,1300.34,Administrativo,1
33,14658,Saúde,1,Telefone,906,Mensal,94.12,1129.48,Mudança de vida,0
